iter	RMSE
0	16584.6138
1	15855.67741
2	15184.16025
3	14542.64419
4	13904.28289
5	13299.10647
6	12740.5523
7	12185.26168
8	11679.56786
9	11190.36512
10	10720.82869
11	10286.78395
12	9845.674423
13	9424.63777
14	9030.526957
15	8647.552685
16	8296.509853
17	7947.923766
18	7607.798433
19	7298.068539
20	6992.289439
21	6700.918283
22	6430.945894
23	6156.402176
24	5904.10827
25	5663.636486
26	5443.388298
27	5226.534397
28	5015.732908
29	4819.129073
30	4638.064221
31	4452.805971
32	4283.111878
33	4112.939523
34	3950.081891
35	3799.24506
36	3652.0727
37	3511.146352
38	3378.816041
39	3257.708906
40	3138.413827
41	3019.016253
42	2904.955201
43	2800.256738
44	2697.723126
45	2600.470986
46	2513.749889
47	2430.594722
48	2351.109229
49	2274.190343
50	2198.42018
51	2130.755146
52	2063.999622
53	2002.144869
54	1943.416016
55	1888.96016
56	1838.688109
57	1787.928057
58	1741.86421
59	1698.450431
60	1655.306675
61	1615.432243
62	1580.609797
63	1545.467271
64	1510.91737
65	1479.609502
66	1449.96835
67	1422.797047
68	1397.886368
69	1372.726108
70	1351.126602
71	1328.863178
72	1306.914977
73	1288.121084
74	1270.483676
75	1252.868084
76	1237.499755
77	1223.395356
78	1209.517166
79	1196.781014
80	1183.431427
81	1169.001572
82	1158.090282
83	1147.376194
84	1138.273249
85	1128.806764
86	1119.333714
87	1110.56012
88	1100.809375
89	1092.25606
90	1083.604973
91	1076.905016
92	1069.515287
93	1062.946663
94	1056.025506
95	1050.012583
96	1044.761783
97	1039.172314
98	1035.080591
99	1030.346035
100	1025.297563
101	1020.806203
102	1016.779775
103	1012.004969
104	1007.921272
105	1003.044549
106	999.0040504
107	995.860523
108	992.4510418
109	989.3865554
110	986.9740482
111	983.5919435
112	981.0616555
113	977.4830422
114	975.3915908
115	972.4326382
116	970.56015
117	967.9934408
118	965.0533779
119	962.7888134
120	959.4337158
121	956.454142
122	954.2043284
123	952.1535677
124	949.2154961
125	946.3927211
126	944.8536419
127	942.377035
128	940.3029059
129	937.636758
130	935.2142051
131	932.3804191
132	930.3938239
133	928.7028731
134	927.0941757
135	925.9941328
136	923.4201094
137	921.7654507
138	919.5115861
139	917.5371505
140	915.2039961
141	913.9758399
142	912.6682609
143	910.0159888
144	908.3726271
145	906.8303537
146	905.3037079
147	902.5972373
148	901.8791198
149	899.4681549
150	897.4408323
151	896.2966259
152	894.8720972
153	893.4114646
154	892.1927195
155	889.6530626
156	888.1383606
157	886.9531999
158	885.0559454
159	884.2297857
160	882.8793716
