iter	Passed	Remaining
0	36	5469
1	67	4971
2	85	4175
3	108	3971
4	132	3842
5	153	3694
6	186	3805
7	219	3901
8	248	3899
9	268	3764
10	286	3615
11	309	3554
12	331	3488
13	351	3416
14	383	3449
15	418	3505
16	466	3650
17	495	3632
18	530	3658
19	563	3662
20	592	3637
21	615	3583
22	644	3560
23	666	3501
24	688	3444
25	707	3371
26	724	3300
27	745	3249
28	774	3230
29	854	3418
30	912	3502
31	939	3465
32	957	3396
33	975	3326
34	992	3262
35	1027	3254
36	1073	3278
37	1118	3297
38	1170	3331
39	1203	3308
40	1234	3282
41	1256	3230
42	1324	3296
43	1359	3275
44	1400	3268
45	1426	3226
46	1453	3185
47	1472	3128
48	1490	3071
49	1511	3023
50	1538	2986
51	1614	3041
52	1702	3116
53	1744	3101
54	1766	3051
55	1791	3007
56	1821	2972
57	1851	2936
58	1875	2892
59	1896	2844
60	1917	2797
61	1949	2767
62	1991	2749
63	2025	2721
64	2060	2694
65	2120	2698
66	2152	2666
67	2174	2621
68	2195	2577
69	2226	2544
70	2253	2507
71	2278	2468
72	2299	2425
73	2317	2379
74	2334	2334
75	2351	2289
76	2375	2251
77	2409	2223
78	2445	2198
79	2498	2186
80	2541	2165
81	2571	2132
82	2593	2093
83	2615	2054
84	2635	2015
85	2653	1974
86	2671	1934
87	2689	1895
88	2709	1857
89	2728	1818
90	2744	1779
91	2761	1741
92	2779	1703
93	2801	1668
94	2827	1637
95	2854	1605
96	2926	1599
97	3032	1609
98	3067	1580
99	3097	1548
100	3118	1512
101	3141	1478
102	3164	1443
103	3198	1414
104	3226	1382
105	3274	1359
106	3305	1328
107	3374	1312
108	3420	1286
109	3471	1262
110	3512	1234
111	3540	1201
112	3570	1169
113	3600	1136
114	3626	1103
115	3650	1070
116	3673	1036
117	3704	1004
118	3733	972
119	3770	942
120	3815	914
121	3875	889
122	3905	857
123	3930	824
124	3951	790
125	4000	761
126	4030	730
127	4066	698
128	4091	666
129	4115	633
130	4132	599
131	4153	566
132	4183	534
133	4221	504
134	4312	479
135	4336	446
136	4365	414
137	4384	381
138	4406	348
139	4424	316
140	4441	283
141	4458	251
142	4480	219
143	4504	187
144	4537	156
145	4574	125
146	4630	94
147	4707	63
148	4768	32
149	4818	0
