"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2023","34,210.00","34,248.00","34,274.00","34,096.00","1.29K","-0.07%"
"06/21/2023","34,235.00","34,328.00","34,387.00","34,160.00","131.66K","-0.35%"
"06/20/2023","34,356.00","34,621.00","34,649.00","34,197.00","189.09K","-0.44%"
"06/19/2023","34,507.00","34,589.00","34,612.00","34,473.00","44.44K","-0.24%"
"06/18/2023","34,591.00","34,626.00","34,627.00","34,582.00","1.50K","0.03%"
"06/16/2023","34,582.19","34,395.00","34,699.00","34,370.00","2.35K","0.47%"
"06/15/2023","34,420.00","33,993.00","34,496.00","33,875.00","26.16K","1.27%"
"06/14/2023","33,990.00","34,221.00","34,221.00","33,793.00","40.06K","-0.70%"
"06/13/2023","34,228.00","34,093.00","34,330.00","34,010.00","82.12K","-0.47%"
"06/12/2023","34,389.00","34,190.00","34,402.00","34,185.00","154.30K","0.55%"
"06/09/2023","34,202.00","34,132.00","34,294.00","34,027.00","56.26K","0.13%"
"06/08/2023","34,159.00","34,012.00","34,203.00","33,920.00","19.02K","1.33%"
"06/07/2023","33,709.00","33,611.00","33,745.00","33,542.00","170.14K","0.27%"
"06/06/2023","33,617.00","33,612.00","33,677.00","33,448.00","161.27K","-0.01%"
"06/05/2023","33,619.00","33,817.00","33,894.00","33,600.00","177.15K","-0.59%"
"06/02/2023","33,817.00","33,143.00","33,863.00","33,120.00","218.21K","2.16%"
"06/01/2023","33,103.00","32,910.00","33,212.00","32,737.00","186.75K","0.38%"
"05/31/2023","32,979.00","33,064.00","33,076.00","32,793.00","174.70K","-0.33%"
"05/30/2023","33,089.00","33,279.00","33,330.00","32,921.00","203.08K","-0.23%"
"05/29/2023","33,166.00","33,237.00","33,266.00","33,158.00","27.86K","-0.23%"
"05/28/2023","33,242.00","33,300.00","33,300.00","33,232.00","3.17K","0.35%"
"05/26/2023","33,125.00","32,792.00","33,202.00","32,724.00","168.33K","0.97%"
"05/25/2023","32,806.00","32,897.00","32,914.00","32,619.00","194.76K","-0.15%"
"05/24/2023","32,854.00","33,131.00","33,184.00","32,806.00","184.60K","-0.84%"
"05/23/2023","33,132.00","33,396.00","33,479.00","33,070.00","178.44K","-0.68%"
"05/22/2023","33,360.00","33,412.00","33,587.00","33,273.00","152.19K","-0.41%"
"05/19/2023","33,496.00","33,625.00","33,731.00","33,394.00","181.17K","-0.36%"
"05/18/2023","33,618.00","33,473.00","33,651.00","33,281.00","183.60K","0.42%"
"05/17/2023","33,478.00","33,094.00","33,540.00","33,062.00","169.60K","1.26%"
"05/16/2023","33,060.00","33,385.00","33,397.00","33,032.00","145.84K","-1.01%"
"05/15/2023","33,398.00","33,321.00","33,506.00","33,212.00","130.11K","0.13%"
"05/12/2023","33,355.00","33,367.00","33,544.00","33,163.00","145.45K","-0.05%"
"05/11/2023","33,371.00","33,594.00","33,683.00","33,180.00","151.68K","-0.69%"
"05/10/2023","33,602.00","33,630.00","33,854.00","33,297.00","201.17K","-0.10%"
"05/09/2023","33,637.00","33,684.00","33,726.00","33,539.00","103.17K","-0.14%"
"05/08/2023","33,685.00","33,753.00","33,848.00","33,566.00","104.60K","-0.16%"
"05/05/2023","33,739.00","33,190.00","33,822.00","33,173.00","152.68K","1.64%"
"05/04/2023","33,196.00","33,392.00","33,562.00","33,004.00","219.40K","-0.88%"
