"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2023","33,445.0","33,375.0","33,587.5","33,107.5","42.68K","0.16%"
"06/21/2023","33,390.0","33,145.0","33,737.5","33,095.0","46.18K","0.71%"
"06/20/2023","33,155.0","33,222.5","33,425.0","33,020.0","42.76K","-0.24%"
"06/19/2023","33,235.0","33,745.0","33,745.0","33,177.5","57.25K","-1.23%"
"06/16/2023","33,650.0","33,405.0","33,725.0","33,105.0","53.04K","0.87%"
"06/15/2023","33,360.0","33,450.0","33,742.5","33,110.0","52.79K","-0.28%"
"06/14/2023","33,455.0","33,315.0","33,765.0","33,152.5","56.27K","0.39%"
"06/13/2023","33,325.0","32,600.0","33,537.5","32,600.0","43.18K","2.22%"
"06/12/2023","32,602.5","32,380.0","32,707.5","32,227.5","45.44K","1.99%"
"06/09/2023","31,965.0","31,700.0","32,250.0","31,440.0","86.68K","1.00%"
"06/08/2023","31,650.0","31,840.0","32,035.0","31,360.0","76.09K","-0.63%"
"06/07/2023","31,850.0","32,335.0","32,655.0","31,785.0","75.32K","-1.59%"
"06/06/2023","32,365.0","32,260.0","32,515.0","31,875.0","71.89K","1.29%"
"06/05/2023","31,952.5","31,847.5","32,517.5","31,760.0","17.47K","1.28%"
"06/02/2023","31,550.0","31,230.0","31,550.0","31,180.0","63.92K","1.30%"
"06/01/2023","31,145.0","30,860.0","31,200.0","30,640.0","48.09K","0.82%"
"05/31/2023","30,893.0","31,085.0","31,145.0","30,640.0","56.57K","-0.63%"
"05/30/2023","31,090.0","31,205.0","31,448.0","31,062.5","43.11K","-0.58%"
"05/29/2023","31,270.0","30,980.0","31,665.0","30,930.0","53.02K","1.02%"
"05/26/2023","30,955.0","30,870.0","31,110.0","30,715.0","51.29K","0.41%"
"05/25/2023","30,830.0","30,615.0","30,910.0","30,405.0","47.71K","0.67%"
"05/24/2023","30,625.0","30,865.0","30,905.0","30,545.0","52.93K","-0.81%"
"05/23/2023","30,875.0","31,020.0","31,360.0","30,825.0","61.25K","-0.50%"
"05/22/2023","31,030.0","30,900.0","31,095.0","30,670.0","51.41K","0.40%"
"05/19/2023","30,905.0","30,575.0","30,955.0","30,570.0","53.82K","1.05%"
"05/18/2023","30,585.0","30,060.0","30,670.0","30,040.0","53.73K","1.76%"
"05/17/2023","30,055.0","29,830.0","30,140.0","29,800.0","33.54K","0.74%"
"05/16/2023","29,835.0","29,680.0","29,925.0","29,635.0","37.67K","0.59%"
"05/15/2023","29,660.0","29,420.0","29,675.0","29,400.0","39.83K","0.83%"
"05/12/2023","29,415.0","29,075.0","29,435.0","28,960.0","46.99K","0.98%"
"05/11/2023","29,130.0","29,150.0","29,230.0","28,890.0","0.07K","-0.05%"
"05/10/2023","29,145.0","29,220.0","29,280.0","29,070.0","0.05K","-0.36%"
"05/09/2023","29,250.0","28,990.0","29,260.0","28,950.0","0.00K","1.00%"
"05/08/2023","28,960.0","29,120.0","29,150.0","28,560.0","108.93K","0.59%"
"05/05/2023","28,790.0","28,692.5","29,148.0","28,687.5","","0.16%"
"05/04/2023","28,745.0","28,605.0","28,783.0","28,562.5","25.87K","-0.54%"
"05/03/2023","28,900.0","28,770.0","28,943.0","28,545.0","","-0.79%"
"05/02/2023","29,130.0","29,090.0","29,090.0","29,090.0","0.00K","-0.12%"
"05/01/2023","29,165.0","28,920.0","29,170.0","28,730.0","58.14K","1.00%"
"04/28/2023","28,875.0","28,460.0","28,870.0","28,450.0","77.99K","1.51%"
"04/27/2023","28,445.0","28,380.0","28,460.0","28,240.0","43.37K","0.14%"
"04/26/2023","28,405.0","28,430.0","28,430.0","28,430.0","0.03K","-0.77%"
"04/25/2023","28,625.0","28,600.0","28,800.0","28,600.0","38.07K","0.12%"
"04/24/2023","28,590.0","28,530.0","28,710.0","28,480.0","36.52K","0.07%"
"04/21/2023","28,570.0","28,610.0","28,780.0","28,490.0","48.71K","-0.28%"
"04/20/2023","28,650.0","28,560.0","28,700.0","28,400.0","40.94K","0.17%"
"04/19/2023","28,600.0","28,670.0","28,760.0","28,530.0","36.48K","-0.21%"
"04/18/2023","28,660.0","28,550.0","28,730.0","28,430.0","38.59K","0.46%"
"04/17/2023","28,530.0","28,460.0","28,600.0","28,320.0","41.52K","0.35%"
"04/14/2023","28,430.0","28,475.0","28,475.0","28,475.0","0.00K","0.80%"
"04/13/2023","28,205.0","28,100.0","28,240.0","27,900.0","0.01K","0.39%"
"04/12/2023","28,095.0","27,930.0","28,120.0","27,870.0","39.37K","0.57%"
"04/11/2023","27,935.0","27,650.0","28,070.0","27,630.0","49.88K","0.98%"
"04/10/2023","27,665.0","27,520.0","27,740.0","27,480.0","23.97K","0.49%"
"04/07/2023","27,530.0","27,560.0","27,680.0","27,450.0","32.07K","-0.04%"
"04/06/2023","27,540.0","27,820.0","27,840.0","27,430.0","61.66K","-1.01%"
"04/05/2023","27,820.0","28,260.0","28,330.0","27,780.0","48.96K","-1.59%"
"04/04/2023","28,270.0","28,240.0","28,300.0","28,040.0","35.36K","0.09%"
"04/03/2023","28,245.0","28,050.0","28,260.0","28,000.0","52.06K","0.55%"
"03/31/2023","28,090.0","27,810.0","28,130.0","27,800.0","69.41K","1.04%"
"03/30/2023","27,800.0","27,600.0","27,870.0","27,590.0","59.49K","0.74%"
"03/29/2023","27,595.0","27,290.0","27,610.0","27,150.0","48.40K","1.12%"
"03/28/2023","27,290.0","27,240.0","27,350.0","27,130.0","42.35K","0.05%"
"03/27/2023","27,275.0","27,190.0","27,290.0","26,850.0","60.33K","0.39%"
"03/24/2023","27,170.0","27,160.0","27,370.0","26,930.0","55.85K","0.17%"
"03/23/2023","27,125.0","27,200.0","27,360.0","26,920.0","47.19K","-0.39%"
"03/22/2023","27,230.0","27,235.0","27,250.0","27,210.0","0.01K","1.19%"
"03/21/2023","26,910.0","26,883.0","27,148.0","26,813.0","","0.88%"
"03/20/2023","26,675.0","27,120.0","27,120.0","27,000.0","0.00K","-1.35%"
"03/17/2023","27,040.0","26,670.0","27,100.0","26,430.0","79.84K","1.12%"
"03/16/2023","26,740.0","27,060.0","27,090.0","26,190.0","112.15K","-1.09%"
"03/15/2023","27,035.0","27,125.0","27,125.0","26,895.0","0.10K","0.48%"
"03/14/2023","26,905.0","27,360.0","27,360.0","26,885.0","0.23K","-2.64%"
"03/13/2023","27,635.0","27,840.0","27,925.0","27,400.0","0.32K","-0.79%"
"03/10/2023","27,855.0","28,335.0","28,350.0","27,940.0","0.27K","-2.66%"
"03/09/2023","28,615.0","28,425.0","28,730.0","28,390.0","23.50K","0.69%"
"03/08/2023","28,420.0","28,305.0","28,475.0","28,170.0","47.72K","0.39%"
"03/07/2023","28,310.0","28,230.0","28,405.0","28,175.0","58.81K","0.27%"
"03/06/2023","28,235.0","27,905.0","28,320.0","27,860.0","64.33K","1.22%"
"03/03/2023","27,895.0","27,535.0","27,970.0","27,460.0","50.62K","1.31%"
"03/02/2023","27,535.0","27,535.0","27,620.0","27,395.0","36.17K","0.00%"
"03/01/2023","27,535.0","27,445.0","27,560.0","27,300.0","32.28K","0.33%"
"02/28/2023","27,445.0","27,420.0","27,585.0","27,400.0","29.00K","0.07%"
"02/27/2023","27,425.0","27,400.0","27,465.0","27,270.0","32.22K","0.16%"
"02/24/2023","27,380.0","27,130.0","27,450.0","27,005.0","44.33K","0.96%"
"02/23/2023","27,120.0","27,115.0","27,160.0","26,940.0","20.60K","0.00%"
"02/22/2023","27,120.0","27,445.0","27,465.0","27,020.0","42.48K","-1.24%"
"02/21/2023","27,460.0","27,515.0","27,520.0","27,325.0","22.68K","-0.20%"
"02/20/2023","27,515.0","27,455.0","27,525.0","27,380.0","25.55K","0.24%"
"02/17/2023","27,450.0","27,655.0","27,680.0","27,435.0","38.20K","-0.78%"
"02/16/2023","27,665.0","27,440.0","27,725.0","27,435.0","31.79K","0.80%"
"02/15/2023","27,445.0","27,625.0","27,770.0","27,425.0","46.34K","-0.67%"
"02/14/2023","27,630.0","27,425.0","27,715.0","27,425.0","35.47K","0.66%"
"02/13/2023","27,450.0","27,640.0","27,685.0","27,235.0","57.89K","-0.67%"
"02/10/2023","27,635.0","27,615.0","27,790.0","27,495.0","53.36K","-0.05%"
"02/09/2023","27,650.0","27,515.0","27,515.0","27,485.0","0.02K","0.11%"
"02/08/2023","27,620.0","27,340.0","27,410.0","27,100.0","0.57K","0.00%"
"02/07/2023","27,620.0","27,380.0","27,530.0","27,270.0","0.32K","-0.31%"
"02/06/2023","27,705.0","27,210.0","27,550.0","27,150.0","0.75K","0.69%"
"02/03/2023","27,515.0","27,150.0","27,330.0","27,110.0","0.54K","0.38%"
"02/02/2023","27,410.0","27,060.0","27,240.0","26,880.0","0.55K","0.29%"
"02/01/2023","27,330.0","27,050.0","27,260.0","26,940.0","0.31K","-0.02%"
"01/31/2023","27,335.0","27,450.0","27,450.0","27,165.0","0.01K","-0.24%"
