Date;BTC_close;BTC_open;BTC_high;BTC_low;BTC_volume;BTC_change;difficulty;addresses_active_count;sum_block_weight;mean_block_size_bytes;total_fees_usd;mean_hash_rate;xfer_cnt;mean_tx_size_usd;ETH;LTC;XRP;DOGE;COPPER;GOLD;SILVER;SPX;JP225;DJI
22/06/2023;29890,5;29992,8;30497,8;29590,4;79.22;-0,0035;5,23504E+13;1000988;547153915;1650655,299;1292777.7232922972;356522561,5;953689;12115.8257691119;1872,32;85,97;0,49401;0,065567;3,89;1923,7;22,467;4381,89;33445;34210
21/06/2023;29996,9;28307,7;30769,5;28270,5;143.49;0,0597;5,23504E+13;920555;483181576;1611773,413;1347975.887305598;314884890,6;906309;18307.383417163044;1889,87;85,12;0,49995;0,065644;3,9135;1944,9;22,81;4365,69;33390;34235
20/06/2023;28307,7;26845,9;28393;26665,5;100.55;0,0544;5,23504E+13;951926;543133484;1677592,316;1052363.9361120176;353920205;1037188;11895.597338940846;1791,61;80,31;0,4927;0,063108;3,8835;1947,7;23,234;4388,71;33155;34356
19/06/2023;26845,9;26339,7;27029,7;26295,1;46.45;0,0192;5,23504E+13;920552;567091224;1758290,134;851431.8968757584;369534333;929020;14154.042409219404;1737,06;77,51;0,49341;0,062429;3,8643;1964,05;24,062;;;
18/06/2023;26339,7;26515;26679,3;26290,6;27.31;-0,0066;5,23504E+13;883864;603064705;1985674,695;794670.778268415;392955523,1;992188;10138.3393071561;1720,98;77,2;0,48699;0,062107;3,8738;1969,45;24,198;;;
17/06/2023;26515;26341,3;26767,3;26183,5;35.86;0,0066;5,23504E+13;863600;559141195;1724509,786;1041701.4398743205;364329623,6;988220;8047.5559404534015;1727,79;76,87;0,4794;0,062193;;;;;;
16/06/2023;26341,3;25591,9;26472,8;25276;69.24;0,0293;5,23504E+13;958674;603058074;1648389,647;1215427.1484779434;398160232,5;1164425;9283.529807662368;1717,92;76,12;0,47579;0,062172;3,889;1971,2;24,126;4409,59;33650;34582,19
15/06/2023;25591,3;25129,5;25732,8;24838;68.38;0,0184;5,23504E+13;919869;591077586;1769759,372;1057610.5511839262;385148461;1022218;11348.458382649267;1666,96;74,62;0,48031;0,061509;3,901;1970,7;23,947;4425,84;33360;34420
14/06/2023;25129,5;25929;26051,7;24847,4;60.82;-0,0308;5,23504E+13;828183;479257337;1606832,645;998454.5128060305;312665624,1;830033;12137.71912318014;1650,96;73,17;0,48011;0,060413;3,87;1968,9;24,105;4372,59;33455;33990
13/06/2023;25929,4;25906,9;26428,9;25726,4;56.24;0,0009;5,12343E+13;933842;583050393;1805019,347;952620.5538128684;374390300,3;938957;11711.444154703762;1739,6;77,49;0,51911;0,061726;3,831;1958,6;23,822;4369,01;33325;34228
