Date;BTC_close;BTC_open;BTC_high;BTC_low;BTC_volume;BTC_change;difficulty;addresses_active_count;sum_block_weight;mean_block, size_bytes;total_fees_usd;mean_hash_rate;xfer_cnt;mean_tx_size_usd;COPPER;GOLD;SILVER;ETH;LTC;XRP;DOGE;SPX;JP225;DJI
22/06/2023;29890,5;29992,8;30497,8;29590,4;79.22;-0,0035;5,23504E+13;1000988;547153915;1650655,299;1292777.7232922972;356522561,5;953689;12115.8257691119;3,89;1923,7;22,467;1872,32;85,97;0,49401;0,065567;4381,89;33445;34210
21/06/2023;29996,9;28307,7;30769,5;28270,5;143.49;0,0597;5,23504E+13;920555;483181576;1611773,413;1347975.887305598;314884890,6;906309;18307.383417163044;3,9135;1944,9;22,81;1889,87;85,12;0,49995;0,065644;4365,69;33390;34235
20/06/2023;28307,7;26845,9;28393;26665,5;100.55;0,0544;5,23504E+13;951926;543133484;1677592,316;1052363.9361120176;353920205;1037188;11895.597338940846;3,8835;1947,7;23,234;1791,61;80,31;0,4927;0,063108;4388,71;33155;34356
16/06/2023;26341,3;25591,9;26472,8;25276;69.24;0,0293;5,23504E+13;958674;603058074;1648389,647;1215427.1484779434;398160232,5;1164425;9283.529807662368;3,889;1971,2;24,126;1717,92;76,12;0,47579;0,062172;4409,59;33650;34582,19
15/06/2023;25591,3;25129,5;25732,8;24838;68.38;0,0184;5,23504E+13;919869;591077586;1769759,372;1057610.5511839262;385148461;1022218;11348.458382649267;3,901;1970,7;23,947;1666,96;74,62;0,48031;0,061509;4425,84;33360;34420
14/06/2023;25129,5;25929;26051,7;24847,4;60.82;-0,0308;5,23504E+13;828183;479257337;1606832,645;998454.5128060305;312665624,1;830033;12137.71912318014;3,87;1968,9;24,105;1650,96;73,17;0,48011;0,060413;4372,59;33455;33990
13/06/2023;25929,4;25906,9;26428,9;25726,4;56.24;0,0009;5,12343E+13;933842;583050393;1805019,347;952620.5538128684;374390300,3;938957;11711.444154703762;3,831;1958,6;23,822;1739,6;77,49;0,51911;0,061726;4369,01;33325;34228
12/06/2023;25906,8;25927,9;26080,7;25635;40.75;-0,0008;5,12343E+13;985947;626993730;1695714,994;1116268.0486355112;399859030,3;863628;15527.346914416521;3,752;1969,7;24,059;1742,6;77,5;0,525;0,061436;4338,93;32602,5;34389
09/06/2023;26479,3;26501,1;26773,9;26326,7;38.96;-0,0008;5,12343E+13;1020140;674915224;1632991,692;1939560.5148240079;430421502,7;922364;8706.162449218697;3,789;1977,2;24,41;1840,41;89,29;0,53799;0,069462;4298,86;31965;34202
08/06/2023;26501,1;26341,8;26784,4;26231,3;39.95;0,006;5,12343E+13;964762;611050797;1699174,481;1821392.389842406;392218409,4;910744;10526.215180919378;3,795;1978,6;24,348;1845,68;88,5;0,52377;0,067941;4293,93;31650;34159
07/06/2023;26342,5;27230,2;27342;26141;77.48;-0,0326;5,12343E+13;1004588;539169704;1623098,504;2527313.1862614006;343827827,9;942350;12005.228047662886;3,756;1958,4;23,529;1832,1;88,83;0,51828;0,067284;4267,52;31850;33709
06/06/2023;27230,2;25745,6;27325,2;25425,6;88.61;0,0576;5,12343E+13;1032895;603026799;1693990,868;2304133.1699191798;384577792,3;1008789;13323.563281318786;3,7685;1981,5;23,67;1884,17;90,92;0,52989;0,07025;4283,85;32365;33617
05/06/2023;25747,4;27122,3;27125,5;25437,5;85.42;-0,0507;5,12343E+13;884289;551138855;1601872,906;1540297.4807379814;351468445,1;824344;13907.740559141152;3,768;1974,3;23,635;1811,2;87,7;0,50896;0,066441;4273,79;31952,5;33619
02/06/2023;27244,7;26819;27299,4;26541,3;49.37;0,0159;5,12343E+13;982760;654956417;1638043,421;2048571.4049891806;417687139,5;1059991;8742.44425743538;3,7275;1969,6;23,747;1907,1;95,48;0,52467;0,072571;4282,37;31550;33817
