Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COOPER,S&P500,DJI,JP225
16/04/2023,30310.3,30299.2,30545.3,30134.6,34.48,840992,4.78878E+13,1866594.29,495223185,484205.91537749337,295183695.6,679810,0.443850397,2119.29,100.03,0.090465,0.52089,2015.6,25.438,,,,
15/04/2023,30299.6,30472.6,30586.5,30208.8,31.71,1045660,4.78878E+13,1839875.354,631025193,630623.2853667132,376121160.2,783876,0.586694709,2090.59,96.66,0.08889,0.5193,,,,,,
14/04/2023,30472.5,30387.4,30964.9,30026,98.38,1016042,4.78878E+13,1759535.436,559166432,858535.2971885926,333271914.1,900976,0.630128476,2099.98,96.34,0.088707,0.52269,2002.2,25.46,9023.5,4137.64,33885.31,28493.47
13/04/2023,30387.4,29892.4,30524.1,29864.5,65.87,1009669,4.78878E+13,1812112.549,567094231,767012.8081097599,338032941.8,863386,0.426872601,2012.11,94.19,0.087344,0.51244,2041.3,25.925,9058.5,4146.22,34030.34,28156.97
12/04/2023,29886.4,30209.8,30473,29679.5,78.69,1056542,4.78878E+13,1933495.919,635037442,757368.7836819463,380882188,897154,0.848720818,1916.58,92.02,0.083398,0.50473,2010.9,25.458,8916.5,4091.95,33647.22,28082.7
11/04/2023,30209.6,29641,30484.6,29597.8,89.38,1146146,4.78878E+13,1672452.591,615053689,921139.8892941102,366599104.8,948069,0.521256897,1889.86,94.23,0.08413,0.51686,2004.8,25.186,8854.5,4108.94,33685.12,27923.37
10/04/2023,29641,28326.5,29755.4,28182.9,85.73,947327,4.78878E+13,1623917.138,487218389,654962.4288756459,292803183.4,769790,0.464417328,1910.36,93.79,0.084797,0.51766,1989.1,24.912,,4109.11,33585.93,27633.66
09/04/2023,28326.6,27941.2,28522.7,27809.2,39.35,936112,4.78878E+13,1976002.815,583068277,483732.0950530147,347554997.3,710289,0.337607201,1858.9,90.59,0.083197,0.50539,,,,,,
08/04/2023,27941.2,27910.4,28153.1,27863.8,23.73,885739,4.78878E+13,2195712.912,587076617,615973.9893205918,349935509.4,859533,0.309722263,1848.93,89.91,0.081359,0.50497,,,,,,
07/04/2023,27910.4,28037.6,28102.5,27779.4,30.94,956362,4.78878E+13,1897545.31,567081278,753530.5234586765,338032941.8,938498,0.322061454,1863.46,90.58,0.082243,0.51301,,,,,,27518.31
06/04/2023,28036.7,28173.5,28173.5,27734.5,51.29,1022873,4.7222E+13,1971266.681,638984328,905747.8311716914,375586794.9,941395,0.469139655,1872.35,90.97,0.08541,0.50284,2011.9,25.093,8800,4105.02,33485.35,27472.63
05/04/2023,28173.5,28164.4,28744.4,27823.5,77.32,964688,4.68434E+13,1823133.547,551198167,915481.2058234273,323675130.9,916214,0.586600065,1908.96,92.67,0.092715,0.5056,2020.9,25.037,8782,4090.38,33482.59,27813.26
04/04/2023,28164.4,27802.2,28429.1,27668.9,64.06,1108155,4.68434E+13,1784725.636,646966825,933234.7815108388,377232885.5,1055774,0.500388873,1870.52,92.53,0.095163,0.5027,2022.2,25.101,8751,4100.6,33403.04,28287.42
03/04/2023,27802.1,28194.7,28458.4,27256.9,98.00,985157,4.68434E+13,1731937.443,523167342,791454.0260691603,305046344.9,872351,0.41586929,1810.77,92.98,0.09604,0.4957,1983.9,24.021,8917,4124.51,33600.92,28188.15
02/04/2023,28198.3,28456.1,28522.8,27871.7,45.04,1012005,4.68434E+13,1886886.423,595052757,680022.6098375327,346961110,861466,0.303357946,1795.01,92.81,0.079023,0.51804,,,,,,
01/04/2023,28456.1,28473.7,28795.1,28285.6,38.09,1038858,4.68434E+13,1810604.5,559143995,875252.7598518976,326003727.5,876720,0.343392087,1820.78,92.56,0.081822,0.50949,,,,,,
31/03/2023,28473.7,28029.3,28646.3,27587.5,98.44,1043754,4.68434E+13,1790523.092,563128825,953434.0628256517,328332327.4,907374,0.495635939,1821.62,89.57,0.076984,0.53799,1969,24.156,8993,4109.31,33273.1,28041.48
30/03/2023,28029.5,28350.3,29160.4,27716.7,122.51,1021839,4.68434E+13,2050557.258,615057979,776066.2028222161,360932699.5,903224,0.507928412,1793.59,89.07,0.074226,0.53217,1980.3,23.989,9001,4050.83,32859.56,27782.93
29/03/2023,28350.4,27262.9,28627.4,27249.8,109.32,977852,4.68434E+13,2016251.762,583059718,772801.3721814925,342303913.5,862563,0.396864387,1793.27,91.3,0.075617,0.54274,1966.9,23.391,9002.5,4027.81,32717.96,27883.78
28/03/2023,27262.2,27127.8,27465,26665.6,94.16,982699,4.68434E+13,1822666.306,535081807,730657.4504667725,312032141.3,820463,0.438097289,1772.63,89.08,0.07376,0.51443,1973.5,23.345,8978,3971.27,32394.65,27518.25
27/03/2023,27129.8,27974.8,28023.3,26611.5,107.24,1057595,4.68434E+13,1871969.318,591091024,669618.4737649699,344632513.4,814057,0.427244154,1714.65,89.22,0.072863,0.4793,1971.5,23.075,8964,3977.53,32432.61,27476.87
26/03/2023,27973.5,27474.9,28153.7,27429.1,60.64,851151,4.68434E+13,2254034.097,575115533,619504.4248404156,335318120.4,728626,0.35197679,1774.06,93.4,0.074377,0.44797,,,,,,
25/03/2023,27475.6,27462.2,27761.9,27176.7,61.36,898042,4.68434E+13,2093686.972,579136921,825382.4944299744,337646717,788901,0.389016521,1742.34,91.52,0.074055,0.44321,,,,,,
24/03/2023,27462.2,28306.9,28374.5,27026.5,110.36,893101,4.68434E+13,2420919.13,647000055,1219730.481068834,377232885.5,840147,0.633067963,1749.26,93.6,0.074573,0.42557,2001.7,23.247,8921.5,3970.99,32238.15,27385.25
23/03/2023,28310.7,27262.8,28734.1,27144.6,158.46,902932,4.38575E+13,2506304.628,718901221,1103131.5128631543,398970829.7,808903,0.588622211,1814.08,93.68,0.077387,0.44398,2013.3,23.144,9031,3948.72,32103.77,27419.61
22/03/2023,27261.7,28114.2,28760.3,26668.7,262.03,940276,4.35517E+13,2180559.233,627034810,968871.4033421105,344229889.8,819958,0.657550197,1734.48,87.25,0.073851,0.42112,1966.6,22.675,8888.5,3936.97,32028.9,27466.61
21/03/2023,28114,27719.8,28437.8,27350.6,438.78,990544,4.35517E+13,1963597.379,579083051,836704.1209636973,313920337.5,880525,0.600517238,1803.54,82.43,0.076685,0.46829,1958.3,22.324,8757.5,4002.87,32561.82,
20/03/2023,27720.5,27958.9,28457.8,27157,503.90,1014355,4.35517E+13,2007787.338,615037445,816071.5224047584,333405048.1,874328,0.605132459,1732.31,78.02,0.071345,0.37318,1999.7,22.533,8697.5,3951.57,32244.64,26945.67
19/03/2023,27958.7,26914.5,28347.3,26844.6,393.27,845573,4.35517E+13,2315518.818,595101621,800805.9706071694,320415243.1,747881,0.479521575,1779.47,83.87,0.074462,0.38549,,,,,,
18/03/2023,26914.5,27391.9,27659.1,26688.7,392.47,955447,4.35517E+13,2283903.914,646983386,923585.5246616338,350724792.4,823196,0.472926208,1758.7,83.01,0.072959,0.37396,,,,,,
17/03/2023,27391.8,25004.4,27742.2,24900.1,674.96,1085422,4.35517E+13,1883489.986,587108806,1184848.4999678824,318250273.5,951188,0.604908006,1789.38,85.51,0.076421,0.3799,1990.2,22.351,8580,3916.64,31858.89,27333.79
16/03/2023,25004.1,24283.2,25139,24147.9,462.58,879957,4.35517E+13,1992013.761,531164336,835267.1014340939,290105693.8,824750,0.532753484,1673.85,78.92,0.072567,0.3648,1939.7,21.588,8518,3960.28,32247.61,27010.61
15/03/2023,24282.7,24699.6,25108.9,23932.4,614.31,1006730,4.35517E+13,1962076.905,583151818,813546.9769794921,318250273.5,905555,0.532881701,1649.65,76.35,0.069682,0.35899,1948.1,21.774,8504.5,3891.93,31876.22,27229.48
14/03/2023,24699.7,24121.5,26365.9,23994.6,753.06,1024780,4.35517E+13,1815805.623,583086321,930524.803112633,316085307,879249,0.718230892,1700.15,84,0.074665,0.3726,1910.9,21.929,8833.5,3920.56,32153.89,27222.04
13/03/2023,24114.4,21994.8,24406.2,21859.6,733.63,999918,4.35517E+13,2048938.096,626996059,632724.1496112162,339899953.8,881499,0.637471566,1673.93,81.5,0.072862,0.37232,1916.5,21.793,8931,3855.76,31819.05,27832.96
12/03/2023,21994.8,20465,22028.6,20294.2,455.69,886609,4.35517E+13,2361875.062,642927431,472932.69313309225,348559825.9,733258,0.434065414,1580.24,76.22,0.070587,0.3713,,,,,,
11/03/2023,20467.5,20156.5,20669.5,19796.7,453.46,982511,4.35517E+13,2260066.545,658952121,558832.4075354467,357219694.9,892971,0.532875801,1471.15,69.22,0.066185,0.36385,,,,,,
