Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COOPER,S&P500,DJI,JP225
2023-03-18,26914.5,27391.9,27659.1,26688.7,392.47K,955447,43551722213590,2283903.9135802,646983386,923585.5246616338,350724792.35971,823196,0.472926208323,1758.7,83.01,0.072959,0.37396,,,,,,
2023-03-19,27958.7,26914.5,28347.3,26844.6,393.27K,845573,43551722213590,2315518.8175676,595101621,800805.9706071694,320415243.09549,747881,0.479521574553,1779.47,83.87,0.074462,0.38549,,,,,,
2023-03-20,27720.5,27958.9,28457.8,27157.0,503.90K,1014355,43551722213590,2007787.3376623,615037445,816071.5224047584,333405048.14156,874328,0.605132458554,1732.31,78.02,0.071345,0.37318,1999.7,22.533,8697.5,3951.57,32244.64,26945.67
2023-03-21,28114.0,27719.8,28437.8,27350.6,438.78K,990544,43551722213590,1963597.3793103,579083051,836704.1209636973,313920337.45491,880525,0.600517237645,1803.54,82.43,0.076685,0.46829,1958.3,22.324,8757.5,4002.87,32561.82,
2023-03-22,27261.7,28114.2,28760.3,26668.7,262.03K,940276,43551722213590,2180559.2327044,627034810,968871.4033421105,344229889.83668,819958,0.657550197372,1734.48,87.25,0.073851,0.42112,1966.6,22.675,8888.5,3936.97,32028.9,27466.61
2023-03-23,28310.7,27262.8,28734.1,27144.6,158.46K,902932,43857506515425,2506304.6284153,718901221,1103131.5128631543,398970829.72571,808903,0.588622211017,1814.08,93.68,0.077387,0.44398,2013.3,23.144,9031.0,3948.72,32103.77,27419.61
2023-03-24,27462.2,28306.9,28374.5,27026.5,110.36K,893101,46843400286277,2420919.1296296,647000055,1219730.481068834,377232885.49312,840147,0.633067963198,1749.26,93.6,0.074573,0.42557,2001.7,23.247,8921.5,3970.99,32238.15,27385.25
2023-03-25,27475.6,27462.2,27761.9,27176.7,61.36K,898042,46843400286277,2093686.9724138,579136921,825382.4944299744,337646717.00662,788901,0.389016521349,1742.34,91.52,0.074055,0.44321,,,,,,
2023-03-26,27973.5,27474.9,28153.7,27429.1,60.64K,851151,46843400286277,2254034.0972222,575115533,619504.4248404156,335318120.43832,728626,0.351976789927,1774.06,93.4,0.074377,0.44797,,,,,,
2023-03-27,27129.8,27974.8,28023.3,26611.5,107.24K,1057595,46843400286277,1871969.3175676,591091024,669618.4737649699,344632513.41787,814057,0.427244154298,1714.65,89.22,0.072863,0.4793,1971.5,23.075,8964.0,3977.53,32432.61,27476.87
2023-03-28,27262.2,27127.8,27465.0,26665.6,94.16K,982699,46843400286277,1822666.3059701,535081807,730657.4504667725,312032141.34263,820463,0.438097289047,1772.63,89.08,0.07376,0.51443,1973.5,23.345,8978.0,3971.27,32394.65,27518.25
2023-03-29,28350.4,27262.9,28627.4,27249.8,109.32K,977852,46843400286277,2016251.7619048,583059718,772801.3721814925,342303913.4964,862563,0.396864387312,1793.27,91.3,0.075617,0.54274,1966.9,23.391,9002.5,4027.81,32717.96,27883.78
2023-03-30,28029.5,28350.3,29160.4,27716.7,122.51K,1021839,46843400286277,2050557.2580645,615057979,776066.2028222161,360932699.45549,903224,0.507928412217,1793.59,89.07,0.074226,0.53217,1980.3,23.989,9001.0,4050.83,32859.56,27782.93
2023-03-31,28473.7,28029.3,28646.3,27587.5,98.44K,1043754,46843400286277,1790523.0921986,563128825,953434.0628256516,328332327.38025,907374,0.495635939265,1821.62,89.57,0.076984,0.53799,1969.0,24.156,8993.0,4109.31,33273.1,28041.48
2023-04-01,28456.1,28473.7,28795.1,28285.6,38.09K,1038858,46843400286277,1810604.5,559143995,875252.7598518976,326003727.45878,876720,0.343392087001,1820.78,92.56,0.081822,0.50949,,,,,,
2023-04-02,28198.3,28456.1,28522.8,27871.7,45.04K,1012005,46843400286277,1886886.4228188,595052757,680022.6098375327,346961109.98617,861466,0.303357945657,1795.01,92.81,0.079023,0.51804,,,,,,
2023-04-03,27802.1,28194.7,28458.4,27256.9,98.00K,985157,46843400286277,1731937.4427481,523167342,791454.0260691603,305046344.93138,872351,0.415869290184,1810.77,92.98,0.09604,0.4957,1983.9,24.021,8917.0,4124.51,33600.92,28188.15
2023-04-04,28164.4,27802.2,28429.1,27668.9,64.06K,1108155,46843400286277,1784725.6358025,646966825,933234.7815108388,377232885.49312,1055774,0.500388872557,1870.52,92.53,0.095163,0.5027,2022.2,25.101,8751.0,4100.6,33403.04,28287.42
2023-04-05,28173.5,28164.4,28744.4,27823.5,77.32K,964688,46843400286277,1823133.5467626,551198167,915481.2058234272,323675130.89048,916214,0.586600064813,1908.96,92.67,0.092715,0.5056,2020.9,25.037,8782.0,4090.38,33482.59,27813.26
2023-04-06,28036.7,28173.5,28173.5,27734.5,51.29K,1022873,47221982255221,1971266.68125,638984328,905747.8311716914,375586794.88083,941395,0.469139654581,1872.35,90.97,0.08541,0.50284,2011.9,25.093,8800.0,4105.02,33485.35,27472.63
