"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/04/2023","0.092952","0.090470","0.094424","0.088289","2.19B","2.75%"
"16/04/2023","0.090465","0.088894","0.091754","0.087765","1.53B","1.77%"
"15/04/2023","0.088890","0.088684","0.090512","0.087233","1.13B","0.21%"
"14/04/2023","0.088707","0.087344","0.091169","0.085505","2.90B","1.56%"
"13/04/2023","0.087344","0.083406","0.088790","0.082866","2.35B","4.73%"
"12/04/2023","0.083398","0.084133","0.084487","0.081099","2.19B","-0.87%"
"11/04/2023","0.084130","0.084794","0.085791","0.083623","1.29B","-0.79%"
"10/04/2023","0.084797","0.083194","0.085402","0.082332","1.24B","1.92%"
"09/04/2023","0.083197","0.081359","0.083846","0.081194","1.14B","2.26%"
"08/04/2023","0.081359","0.082232","0.083827","0.080629","1.49B","-1.07%"
"07/04/2023","0.082243","0.085415","0.086143","0.081623","2.81B","-3.71%"
"06/04/2023","0.085410","0.092717","0.092717","0.084748","4.19B","-7.88%"
"05/04/2023","0.092715","0.095163","0.099134","0.091265","4.23B","-2.57%"
"04/04/2023","0.095163","0.096040","0.103232","0.092330","8.93B","-0.91%"
"03/04/2023","0.096040","0.079022","0.104060","0.076252","10.60B","21.53%"
"02/04/2023","0.079023","0.081822","0.085483","0.077413","2.65B","-3.42%"
"01/04/2023","0.081822","0.076982","0.083261","0.075934","2.28B","6.28%"
"31/03/2023","0.076984","0.074226","0.077803","0.073524","1.05B","3.72%"
"30/03/2023","0.074226","0.075613","0.076767","0.073506","1.09B","-1.84%"
"29/03/2023","0.075617","0.073807","0.076822","0.073512","1.27B","2.52%"
"28/03/2023","0.073760","0.072865","0.074025","0.071746","845.61M","1.23%"
"27/03/2023","0.072863","0.074375","0.075960","0.071345","1.43B","-2.03%"
"26/03/2023","0.074377","0.074060","0.075391","0.073404","633.05M","0.43%"
"25/03/2023","0.074055","0.074573","0.075966","0.072577","828.97M","-0.69%"
"24/03/2023","0.074573","0.077387","0.077498","0.073103","1.15B","-3.64%"
"23/03/2023","0.077387","0.073843","0.078919","0.072986","2.18B","4.79%"
"22/03/2023","0.073851","0.076685","0.077821","0.071648","2.53B","-3.70%"
"21/03/2023","0.076685","0.071342","0.077779","0.070404","1.97B","7.49%"
"20/03/2023","0.071345","0.074541","0.075558","0.070528","1.37B","-4.19%"
"19/03/2023","0.074462","0.072959","0.076498","0.072959","1.04B","2.06%"
"18/03/2023","0.072959","0.076443","0.078775","0.072531","1.91B","-4.53%"
"17/03/2023","0.076421","0.072588","0.077228","0.071528","1.66B","5.31%"
"16/03/2023","0.072567","0.069681","0.074004","0.068919","1.25B","4.14%"
"15/03/2023","0.069682","0.074640","0.075918","0.067488","1.91B","-6.67%"
"14/03/2023","0.074665","0.072862","0.077550","0.071217","2.05B","2.47%"
"13/03/2023","0.072862","0.070603","0.073532","0.068274","1.75B","3.22%"
"12/03/2023","0.070587","0.066185","0.070816","0.065486","1.25B","6.65%"
"11/03/2023","0.066185","0.065794","0.068312","0.063401","1.51B","0.59%"
"10/03/2023","0.065794","0.065995","0.066144","0.062686","1.79B","-0.27%"
"09/03/2023","0.065974","0.071104","0.072269","0.064118","2.23B","-7.24%"
"08/03/2023","0.071120","0.074030","0.074305","0.070308","1.09B","-3.93%"
"07/03/2023","0.074029","0.074790","0.075960","0.072439","1.00B","-1.01%"
"06/03/2023","0.074783","0.074756","0.075115","0.073332","806.82M","0.04%"
"05/03/2023","0.074756","0.074657","0.076039","0.074301","619.49M","0.13%"
"04/03/2023","0.074660","0.076838","0.077212","0.072659","734.67M","-2.80%"
"03/03/2023","0.076811","0.080552","0.080607","0.073579","1.84B","-4.63%"
"02/03/2023","0.080540","0.081944","0.082257","0.079635","568.70M","-1.71%"
