"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/04/2023","25.595","25.438","25.707","25.293","","0.62%"
"16/04/2023","25.438","25.505","25.505","25.402","","-0.09%"
"14/04/2023","25.460","25.970","26.235","25.265","94.54K","-1.79%"
"13/04/2023","25.925","25.630","26.115","25.515","75.42K","1.83%"
"12/04/2023","25.458","25.185","25.825","25.175","89.02K","1.08%"
"11/04/2023","25.186","25.015","25.275","24.970","54.83K","1.10%"
"10/04/2023","24.912","24.910","25.240","24.775","47.96K","-0.72%"
"06/04/2023","25.093","25.090","25.175","24.695","49.82K","0.22%"
"05/04/2023","25.037","25.175","25.295","24.785","66.17K","-0.25%"
"04/04/2023","25.101","24.105","25.195","23.970","80.73K","4.50%"
"03/04/2023","24.021","24.285","24.335","23.725","59.79K","-0.56%"
"31/03/2023","24.156","24.050","24.310","23.830","59.67K","0.70%"
"30/03/2023","23.989","23.440","24.100","23.370","67.10K","2.56%"
"29/03/2023","23.391","23.315","23.430","23.180","0.19K","0.20%"
"28/03/2023","23.345","23.180","23.425","22.925","0.06K","1.17%"
"27/03/2023","23.075","23.185","23.185","22.945","0.05K","-0.74%"
"24/03/2023","23.247","23.240","23.705","23.125","0.02K","0.45%"
"23/03/2023","23.144","23.100","23.360","22.900","","2.07%"
"22/03/2023","22.675","22.680","23.065","22.650","0.02K","1.57%"
"21/03/2023","22.324","22.570","22.600","22.205","0.06K","-0.93%"
"20/03/2023","22.533","22.630","22.720","22.415","0.01K","0.81%"
"17/03/2023","22.351","21.750","22.065","21.750","0.06K","3.53%"
"16/03/2023","21.588","21.855","21.860","21.580","0.05K","-0.85%"
"15/03/2023","21.774","21.600","22.080","21.600","0.02K","-0.71%"
"14/03/2023","21.929","21.510","21.910","21.500","0.06K","0.62%"
"13/03/2023","21.793","20.690","21.785","20.690","0.02K","6.96%"
"10/03/2023","20.375","20.145","20.875","19.945","0.05K","1.75%"
"09/03/2023","20.025","20.010","20.030","20.010","0.01K","0.10%"
"08/03/2023","20.005","20.035","20.140","19.830","0.08K","-0.24%"
"07/03/2023","20.054","20.985","20.985","19.990","0.06K","-4.43%"
"06/03/2023","20.984","21.175","21.220","20.980","0.12K","-1.20%"
"03/03/2023","21.238","20.990","21.385","20.910","","2.27%"
"02/03/2023","20.766","20.915","20.915","20.735","","-0.92%"
"01/03/2023","20.959","20.880","21.150","20.880","0.58K","-0.01%"
"28/02/2023","20.961","20.640","21.010","20.475","0.51K","1.41%"
"27/02/2023","20.670","20.750","20.820","20.515","7.50K","-0.67%"
"24/02/2023","20.810","21.330","21.395","20.725","51.63K","-2.33%"
"23/02/2023","21.306","21.520","21.670","21.260","52.99K","-1.71%"
"22/02/2023","21.677","21.870","22.000","21.435","50.98K","-0.97%"
"21/02/2023","21.890","21.700","21.995","21.555","86.91K","0.38%"
"20/02/2023","21.808","21.595","21.902","21.558","","0.97%"
"19/02/2023","21.598","21.753","21.753","21.585","","-0.54%"
"17/02/2023","21.715","21.585","21.800","21.155","67.93K","0.02%"
"16/02/2023","21.710","21.640","21.790","21.400","56.29K","0.64%"
"15/02/2023","21.572","21.865","21.875","21.385","55.51K","-1.38%"
"14/02/2023","21.873","21.995","22.040","21.585","73.82K","0.10%"
"13/02/2023","21.852","22.030","22.085","21.785","48.51K","-1.01%"
"10/02/2023","22.075","22.015","22.310","21.830","68.26K","-0.31%"
"09/02/2023","22.143","22.365","22.615","21.915","67.99K","-1.24%"
"08/02/2023","22.420","22.210","22.560","22.205","56.97K","1.10%"
"07/02/2023","22.177","22.305","22.485","22.065","72.08K","-0.27%"
"06/02/2023","22.237","22.385","22.635","22.170","66.94K","-0.75%"
"03/02/2023","22.405","23.515","23.665","22.325","111.87K","-5.12%"
"02/02/2023","23.615","24.065","24.750","23.495","110.84K","0.03%"
"01/02/2023","23.609","23.840","24.150","23.440","65.33K","-0.95%"
"31/01/2023","23.836","23.695","23.865","23.050","66.63K","0.43%"
"30/01/2023","23.733","23.675","23.920","23.630","56.12K","0.85%"
"27/01/2023","23.534","23.845","23.850","23.500","0.18K","-1.68%"
"26/01/2023","23.937","23.925","24.325","23.630","1.35K","0.38%"
"25/01/2023","23.846","23.585","23.985","23.435","0.33K","0.76%"
"24/01/2023","23.665","23.505","23.740","23.275","0.58K","0.78%"
"23/01/2023","23.481","24.050","24.210","22.790","0.43K","-1.59%"
"20/01/2023","23.860","23.950","24.055","23.870","0.03K","0.29%"
"19/01/2023","23.791","23.460","23.940","23.285","0.07K","0.94%"
"18/01/2023","23.569","24.010","24.315","23.495","0.09K","-1.71%"
"17/01/2023","23.978","24.380","24.530","23.955","0.13K","-1.95%"
"16/01/2023","24.455","24.413","24.665","24.087","","0.16%"
"15/01/2023","24.415","24.422","24.445","24.380","","0.56%"
"13/01/2023","24.279","23.880","24.310","23.555","0.12K","1.53%"
"12/01/2023","23.914","23.465","24.240","23.465","0.12K","1.84%"
"11/01/2023","23.481","23.720","24.190","23.340","57.03K","-0.78%"
"10/01/2023","23.665","23.775","23.905","23.550","42.92K","-0.86%"
"09/01/2023","23.871","24.025","24.285","23.725","47.84K","-0.46%"
"06/01/2023","23.982","23.385","24.055","23.345","","2.38%"
"05/01/2023","23.424","23.940","24.060","23.260","","-2.25%"
"04/01/2023","23.964","24.175","24.640","23.745","","-1.12%"
"03/01/2023","24.236","24.305","24.775","24.095","69.96K","-0.38%"
"02/01/2023","24.328","24.177","24.387","24.165","","1.20%"
"30/12/2022","24.040","24.105","24.360","23.705","40.89K","-0.87%"
"29/12/2022","24.250","23.725","24.280","23.690","36.90K","1.72%"
"28/12/2022","23.840","24.240","24.275","23.645","34.29K","-1.56%"
"27/12/2022","24.217","24.050","24.495","23.975","45.23K","0.67%"
"26/12/2022","24.055","24.008","24.168","23.968","","0.56%"
"23/12/2022","23.920","23.740","24.095","23.685","31.56K","1.26%"
"22/12/2022","23.622","24.195","24.315","23.550","46.20K","-2.36%"
"21/12/2022","24.194","24.395","24.525","24.055","36.77K","-0.32%"
"20/12/2022","24.271","23.180","24.490","23.050","72.52K","4.62%"
"19/12/2022","23.199","23.415","23.625","23.030","33.18K","-0.55%"
"16/12/2022","23.328","23.270","23.445","22.735","51.26K","0.10%"
"15/12/2022","23.305","24.180","24.180","23.155","61.90K","-3.44%"
"14/12/2022","24.136","23.965","24.275","23.605","51.52K","0.61%"
"13/12/2022","23.990","23.520","24.390","23.490","74.31K","2.51%"
"12/12/2022","23.403","23.650","23.765","23.320","39.13K","-1.32%"
"09/12/2022","23.717","23.305","23.900","23.140","53.44K","2.03%"
"08/12/2022","23.246","22.920","23.425","22.725","44.88K","1.41%"
"07/12/2022","22.922","22.350","23.010","22.255","51.54K","2.63%"
"06/12/2022","22.335","22.435","22.780","22.190","49.86K","-0.37%"
"05/12/2022","22.417","23.290","23.690","22.350","72.92K","-3.58%"
"02/12/2022","23.250","22.975","23.475","22.480","74.94K","1.79%"
"01/12/2022","22.841","22.410","23.005","22.240","73.64K","4.87%"
"30/11/2022","21.781","21.415","22.410","21.355","63.51K","1.61%"
"29/11/2022","21.436","21.130","21.635","21.060","46.73K","1.47%"
"28/11/2022","21.125","21.640","21.815","21.045","59.18K","-2.24%"
"25/11/2022","21.609","21.785","21.880","21.355","30.82K","0.47%"
"24/11/2022","21.508","21.637","21.730","21.488","","-0.08%"
"23/11/2022","21.526","21.260","21.780","21.095","20.92K","1.40%"
"22/11/2022","21.229","21.050","21.555","21.050","22.91K","1.71%"
"21/11/2022","20.872","20.985","21.040","20.600","49.27K","-0.60%"
"18/11/2022","20.997","21.020","21.325","20.870","45.48K","0.10%"
"17/11/2022","20.975","21.505","21.535","20.785","68.30K","-2.55%"
"16/11/2022","21.524","21.630","22.155","21.455","71.72K","0.03%"
