"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/04/2023","34,052.00","34,106.00","34,116.00","34,040.00","19.01K","-0.16%"
"16/04/2023","34,108.00","34,116.00","34,116.00","34,079.00","1.95K","0.21%"
"14/04/2023","34,037.00","34,130.00","34,275.00","33,877.00","187.28K","-0.45%"
"13/04/2023","34,190.00","33,788.00","34,216.00","33,747.00","142.66K","1.11%"
"12/04/2023","33,813.00","33,881.00","34,119.00","33,760.00","170.02K","-0.12%"
"11/04/2023","33,852.00","33,766.00","33,953.00","33,730.00","121.33K","0.30%"
"10/04/2023","33,751.00","33,699.00","33,784.00","33,508.00","109.23K","0.27%"
"07/04/2023","33,659.00","33,629.00","33,774.00","33,577.00","13.57K","0.00%"
"06/04/2023","33,659.00","33,634.00","33,716.00","33,486.00","124.32K","0.01%"
"05/04/2023","33,656.00","33,626.00","33,720.00","33,503.00","138.42K","0.24%"
"04/04/2023","33,577.00","33,766.00","33,877.00","33,455.00","138.74K","-0.62%"
"03/04/2023","33,786.00","33,441.00","33,821.00","33,436.00","131.79K","0.97%"
"31/03/2023","33,460.00","33,039.00","33,549.00","33,003.00","136.55K","1.26%"
"30/03/2023","33,044.00","32,894.00","33,123.00","32,863.00","132.07K","0.43%"
"29/03/2023","32,903.00","32,622.00","32,924.00","32,616.00","135.01K","0.97%"
"28/03/2023","32,588.00","32,667.00","32,784.00","32,486.00","120.17K","-0.13%"
"27/03/2023","32,631.00","32,486.00","32,770.00","32,418.00","136.41K","0.61%"
"24/03/2023","32,434.00","32,381.00","32,485.00","31,945.00","193.25K","0.36%"
"23/03/2023","32,319.00","32,296.00","32,733.00","32,054.00","214.72K","0.19%"
"22/03/2023","32,258.00","32,789.00","32,994.00","32,231.00","185.80K","-1.57%"
"21/03/2023","32,774.00","32,474.00","32,830.00","32,441.00","136.93K","0.98%"
"20/03/2023","32,456.00","32,142.00","32,510.00","31,657.00","221.27K","1.09%"
"17/03/2023","32,106.30","32,230.00","32,351.00","31,931.00","2.56K","-0.44%"
"16/03/2023","32,249.00","31,850.00","32,283.00","31,566.00","39.73K","1.18%"
"15/03/2023","31,872.00","32,160.00","32,203.00","31,428.00","59.92K","-0.90%"
"14/03/2023","32,161.00","31,909.00","32,311.00","31,805.00","95.69K","1.04%"
"13/03/2023","31,830.00","32,029.00","32,366.00","31,530.00","201.52K","-1.04%"
"10/03/2023","32,165.00","32,534.00","32,692.00","32,043.00","138.64K","-1.10%"
"09/03/2023","32,524.00","33,091.00","33,278.00","32,455.00","25.47K","-1.70%"
"08/03/2023","33,086.00","33,150.00","33,208.00","32,900.00","2.96K","-0.15%"
"07/03/2023","33,137.00","33,711.00","33,779.00","33,117.00","2.19K","-1.73%"
"06/03/2023","33,719.00","33,628.00","33,855.00","33,625.00","1.20K","0.91%"
"03/03/2023","33,414.00","33,004.00","33,430.00","32,953.00","148.71K","1.20%"
"02/03/2023","33,018.00","32,845.00","33,107.00","32,639.00","163.24K","0.99%"
"01/03/2023","32,693.00","32,652.00","32,864.00","32,527.00","188.69K","0.03%"
"28/02/2023","32,682.00","32,940.00","33,021.00","32,607.00","158.69K","-0.69%"
"27/02/2023","32,909.00","32,816.00","33,211.00","32,783.00","156.50K","0.25%"
"24/02/2023","32,826.00","33,139.00","33,197.00","32,648.00","179.17K","-1.07%"
"23/02/2023","33,182.00","33,097.00","33,294.00","32,816.00","173.20K","0.31%"
"22/02/2023","33,079.00","33,186.00","33,273.00","32,976.00","161.68K","-0.25%"
"21/02/2023","33,162.00","33,844.00","33,875.00","33,141.00","192.79K","-1.80%"
"20/02/2023","33,770.00","33,828.00","33,875.00","33,738.00","21.94K","-0.17%"
"19/02/2023","33,827.00","33,840.00","33,856.00","33,806.00","0.79K","-0.12%"
"17/02/2023","33,866.00","33,719.00","33,889.00","33,514.00","183.82K","0.38%"
"16/02/2023","33,739.00","34,169.00","34,233.00","33,709.00","193.14K","-1.27%"
"15/02/2023","34,174.00","34,086.00","34,193.00","33,871.00","158.06K","0.16%"
"14/02/2023","34,121.00","34,276.00","34,551.00","33,852.00","242.93K","-0.43%"
"13/02/2023","34,268.00","33,905.00","34,289.00","33,759.00","145.50K","1.10%"
"10/02/2023","33,895.00","33,760.00","33,924.00","33,543.00","186.97K","0.48%"
"09/02/2023","33,734.00","34,043.00","34,287.00","33,630.00","194.88K","-0.77%"
"08/02/2023","33,995.00","34,145.00","34,212.00","33,919.00","176.35K","-0.62%"
"07/02/2023","34,206.00","33,920.00","34,283.00","33,661.00","273.43K","0.80%"
"06/02/2023","33,934.00","33,886.00","34,010.00","33,685.00","164.85K","-0.08%"
"03/02/2023","33,962.00","34,048.00","34,226.00","33,821.00","226.64K","-0.40%"
"02/02/2023","34,097.00","34,126.00","34,214.00","33,857.00","194.09K","-0.15%"
"01/02/2023","34,148.00","34,132.00","34,407.00","33,624.00","207.74K","-0.02%"
"31/01/2023","34,156.00","33,819.00","34,166.00","33,579.00","147.86K","1.10%"
"30/01/2023","33,785.00","34,014.00","34,123.00","33,762.00","150.81K","-0.77%"
"27/01/2023","34,046.00","33,998.00","34,241.00","33,899.00","141.44K","0.07%"
"26/01/2023","34,023.00","33,813.00","34,044.00","33,701.00","163.84K","0.59%"
"25/01/2023","33,823.00","33,838.00","33,866.00","33,347.00","182.79K","-0.01%"
"24/01/2023","33,826.00","33,732.00","33,906.00","33,474.00","160.73K","0.29%"
"23/01/2023","33,727.00","33,471.00","33,885.00","33,402.00","176.74K","0.76%"
"20/01/2023","33,474.00","33,187.00","33,482.00","33,031.00","165.28K","1.01%"
"19/01/2023","33,139.00","33,368.00","33,391.00","33,067.00","176.09K","-0.74%"
"18/01/2023","33,386.00","34,006.00","34,131.00","33,365.00","200.01K","-1.86%"
"17/01/2023","34,020.00","34,436.00","34,489.00","33,970.00","189.74K","-1.11%"
