"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/04/2023","8,999.00","9,031.00","9,082.00","8,995.00","","-0.27%"
"14/04/2023","9,023.50","9,093.00","9,090.00","9,085.50","","-0.39%"
"13/04/2023","9,058.50","9,020.00","8,995.00","8,995.00","52.63K","1.59%"
"12/04/2023","8,916.50","8,814.00","8,810.00","8,808.50","39.16K","0.70%"
"11/04/2023","8,854.50","8,842.00","8,842.00","8,842.00","37.96K","0.62%"
"06/04/2023","8,800.00","8,850.00","8,835.50","8,835.00","48.54K","0.20%"
"05/04/2023","8,782.00","8,785.00","8,784.00","8,785.00","32.98K","0.35%"
"04/04/2023","8,751.00","8,940.00","8,930.00","8,931.00","43.27K","-1.86%"
"03/04/2023","8,917.00","8,975.00","8,968.00","8,970.00","28.51K","-0.85%"
"31/03/2023","8,993.00","8,939.00","8,934.00","8,934.00","38.88K","-0.09%"
"30/03/2023","9,001.00","9,040.00","9,037.00","9,039.00","30.95K","-0.02%"
"29/03/2023","9,002.50","9,045.00","9,044.00","9,045.00","34.69K","0.27%"
"28/03/2023","8,978.00","8,960.00","8,947.00","8,949.00","29.35K","0.16%"
"27/03/2023","8,964.00","8,900.00","8,894.00","8,894.50","29.52K","0.48%"
"24/03/2023","8,921.50","8,940.00","8,930.00","8,932.00","53.70K","-1.21%"
"23/03/2023","9,031.00","8,915.00","8,917.00","8,915.00","51.17K","1.60%"
"22/03/2023","8,888.50","8,880.00","8,875.00","8,875.00","44.66K","1.50%"
"21/03/2023","8,757.50","8,840.00","8,811.00","8,810.00","54.27K","0.69%"
"20/03/2023","8,697.50","8,675.00","8,671.00","8,671.00","45.68K","1.37%"
"17/03/2023","8,580.00","8,655.00","8,620.00","8,625.00","43.11K","0.73%"
"16/03/2023","8,518.00","8,548.00","8,536.00","8,537.00","54.79K","0.16%"
"15/03/2023","8,504.50","8,560.00","8,550.00","8,550.00","113.29K","-3.72%"
"14/03/2023","8,833.50","8,904.00","8,905.00","8,904.00","48.53K","-1.09%"
"13/03/2023","8,931.00","8,680.00","8,666.00","8,667.00","94.99K","0.72%"
"10/03/2023","8,867.00","8,780.00","8,770.00","8,771.00","47.82K","0.16%"
"09/03/2023","8,853.00","8,835.00","8,826.00","8,826.00","21.67K","-0.65%"
"08/03/2023","8,910.50","8,825.00","8,824.00","8,824.00","52.74K","1.68%"
"07/03/2023","8,763.50","8,860.00","8,853.00","8,853.00","50.04K","-1.76%"
"06/03/2023","8,920.50","8,845.00","8,845.00","8,845.00","38.39K","-0.70%"
"03/03/2023","8,983.50","8,980.00","8,978.00","8,978.00","27.83K","0.28%"
"02/03/2023","8,958.50","8,923.00","8,921.00","8,922.00","54.40K","-1.56%"
"01/03/2023","9,100.50","9,092.00","9,090.00","9,081.00","48.14K","1.56%"
"28/02/2023","8,961.00","8,865.00","8,851.00","8,851.00","47.60K","1.81%"
"27/02/2023","8,802.00","8,772.00","8,767.00","8,767.00","48.91K","0.98%"
"24/02/2023","8,716.50","8,835.00","8,826.00","8,826.50","","-2.11%"
"23/02/2023","8,904.00","9,088.00","9,088.00","9,088.00","51.58K","-2.28%"
"22/02/2023","9,112.00","9,145.00","9,131.00","9,132.00","42.44K","-0.96%"
"21/02/2023","9,200.50","9,130.00","9,125.00","9,120.00","46.99K","0.65%"
"20/02/2023","9,141.50","9,050.00","9,043.00","9,043.00","35.46K","1.71%"
"17/02/2023","8,987.50","8,912.00","8,910.00","8,912.00","37.94K","-0.39%"
"16/02/2023","9,023.00","8,932.00","8,931.00","8,932.00","43.96K","1.87%"
"15/02/2023","8,857.50","8,870.00","8,860.00","8,862.00","42.09K","-0.99%"
"14/02/2023","8,946.50","8,970.00","8,957.50","8,957.50","40.64K","0.10%"
"13/02/2023","8,938.00","8,955.00","8,940.00","8,940.00","34.02K","0.91%"
"10/02/2023","8,857.50","8,940.00","8,932.00","8,933.00","31.94K","-1.40%"
"09/02/2023","8,983.00","9,005.00","8,980.50","8,981.00","41.62K","1.02%"
"08/02/2023","8,892.50","9,042.00","9,032.50","9,032.50","41.08K","-0.36%"
"07/02/2023","8,925.00","8,895.00","8,891.00","8,890.00","38.77K","0.60%"
"06/02/2023","8,871.50","8,930.00","8,925.00","8,927.00","42.96K","-1.21%"
"03/02/2023","8,980.50","9,085.00","9,070.00","9,075.00","47.02K","-0.80%"
"02/02/2023","9,052.50","9,150.00","9,140.00","9,135.50","42.17K","-0.38%"
"01/02/2023","9,087.00","9,200.00","9,200.00","9,200.00","37.37K","-1.47%"
"31/01/2023","9,222.50","9,105.00","9,104.00","9,105.00","43.57K","0.14%"
"30/01/2023","9,210.00","9,258.00","9,257.00","9,258.00","30.51K","-0.58%"
"27/01/2023","9,263.50","9,370.00","9,362.00","9,365.00","31.82K","-0.71%"
"26/01/2023","9,329.50","9,330.00","9,317.00","9,320.00","25.01K","0.16%"
"25/01/2023","9,314.50","9,293.00","9,289.00","9,289.00","18.85K","0.00%"
"24/01/2023","9,314.50","9,345.00","9,335.00","9,335.00","21.28K","-0.44%"
"23/01/2023","9,356.00","9,360.00","9,355.00","9,360.00","24.08K","0.34%"
"20/01/2023","9,324.00","9,250.00","9,245.00","9,245.00","30.58K","0.20%"
"19/01/2023","9,305.50","9,195.00","9,195.00","9,190.00","47.40K","-0.19%"
"18/01/2023","9,323.50","9,435.00","9,430.00","9,430.00","57.25K","0.39%"
"17/01/2023","9,287.00","9,135.00","9,123.50","9,124.00","47.09K","2.00%"
"16/01/2023","9,104.50","9,175.00","9,174.00","9,174.00","28.25K","-0.88%"
"13/01/2023","9,185.50","9,131.00","9,129.00","9,131.00","37.44K","-0.02%"
"12/01/2023","9,187.00","9,100.00","9,085.00","9,090.00","57.61K","0.68%"
"11/01/2023","9,124.50","9,020.00","9,001.00","8,995.00","68.15K","2.38%"
"10/01/2023","8,912.00","8,805.00","8,790.00","8,795.00","44.22K","0.59%"
"09/01/2023","8,859.50","8,752.00","8,744.00","8,745.00","68.10K","3.14%"
"06/01/2023","8,589.50","8,390.00","8,385.00","8,387.00","64.93K","2.57%"
"05/01/2023","8,374.50","8,440.00","8,437.00","8,438.00","48.57K","1.48%"
"04/01/2023","8,252.00","8,240.00","8,235.00","8,235.00","51.85K","-0.84%"
"03/01/2023","8,321.50","8,408.00","8,407.00","8,408.00","51.04K","-0.60%"
"30/12/2022","8,372.00","8,420.00","8,400.00","8,400.00","28.36K","-0.55%"
"29/12/2022","8,418.00","8,410.00","8,402.00","8,405.00","22.07K","-0.30%"
"28/12/2022","8,443.00","8,475.00","8,470.00","8,470.00","28.29K","1.12%"
"23/12/2022","8,349.50","8,340.00","8,325.00","8,326.00","23.76K","0.47%"
