"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/04/2023","0.51342","0.52090","0.52091","0.50958","318.65M","-1.43%"
"16/04/2023","0.52089","0.51930","0.52421","0.51539","221.06M","0.31%"
"15/04/2023","0.51930","0.52269","0.52609","0.51701","219.33M","-0.65%"
"14/04/2023","0.52269","0.51244","0.54532","0.51119","637.31M","2.00%"
"13/04/2023","0.51244","0.50472","0.51481","0.50141","391.58M","1.53%"
"12/04/2023","0.50473","0.51682","0.51782","0.49990","489.67M","-2.35%"
"11/04/2023","0.51686","0.51765","0.52703","0.51173","507.10M","-0.15%"
"10/04/2023","0.51766","0.50539","0.51972","0.50018","380.21M","2.43%"
"09/04/2023","0.50539","0.50497","0.50902","0.49920","167.09M","0.08%"
"08/04/2023","0.50497","0.51294","0.51294","0.50288","171.35M","-1.57%"
"07/04/2023","0.51301","0.50280","0.51518","0.49805","393.28M","2.02%"
"06/04/2023","0.50284","0.50559","0.50968","0.49279","401.75M","-0.55%"
"05/04/2023","0.50560","0.50270","0.52659","0.49873","527.18M","0.58%"
"04/04/2023","0.50270","0.49574","0.50760","0.48738","462.51M","1.41%"
"03/04/2023","0.49570","0.51804","0.52447","0.48385","663.37M","-4.31%"
"02/04/2023","0.51804","0.50950","0.52877","0.50162","503.34M","1.68%"
"01/04/2023","0.50949","0.53792","0.53792","0.49849","650.03M","-5.30%"
"31/03/2023","0.53799","0.53217","0.54820","0.52720","668.82M","1.09%"
"30/03/2023","0.53217","0.54242","0.55652","0.52498","1.03B","-1.95%"
"29/03/2023","0.54274","0.51442","0.58209","0.51442","1.63B","5.50%"
"28/03/2023","0.51443","0.47922","0.53312","0.46850","1.42B","7.33%"
"27/03/2023","0.47930","0.44795","0.48824","0.44258","1.28B","6.99%"
"26/03/2023","0.44797","0.44309","0.46300","0.44066","483.05M","1.08%"
"25/03/2023","0.44321","0.42560","0.46416","0.42263","830.88M","4.14%"
"24/03/2023","0.42557","0.44381","0.44384","0.41561","691.45M","-4.15%"
"23/03/2023","0.44398","0.42129","0.45431","0.41183","1.08B","5.43%"
"22/03/2023","0.42112","0.46935","0.47470","0.40995","1.82B","-10.07%"
"21/03/2023","0.46829","0.37320","0.49268","0.37295","2.18B","25.49%"
"20/03/2023","0.37318","0.38574","0.39114","0.37145","623.52M","-3.19%"
"19/03/2023","0.38549","0.37398","0.39989","0.37371","652.63M","3.08%"
"18/03/2023","0.37396","0.37986","0.38907","0.37000","491.19M","-1.56%"
"17/03/2023","0.37990","0.36479","0.38129","0.36218","579.90M","4.14%"
"16/03/2023","0.36480","0.35897","0.36661","0.35656","374.92M","1.62%"
"15/03/2023","0.35899","0.37260","0.37575","0.35652","546.76M","-3.65%"
"14/03/2023","0.37260","0.37233","0.38667","0.36485","741.20M","0.07%"
"13/03/2023","0.37232","0.37139","0.37967","0.35680","793.43M","0.27%"
"12/03/2023","0.37130","0.36378","0.37130","0.34797","552.16M","2.05%"
"11/03/2023","0.36385","0.36998","0.37374","0.35888","506.12M","-1.66%"
"10/03/2023","0.36999","0.37061","0.37493","0.35781","758.96M","-0.27%"
"09/03/2023","0.37099","0.38870","0.39737","0.36491","933.16M","-4.57%"
"08/03/2023","0.38874","0.38019","0.40041","0.37250","966.40M","2.25%"
"07/03/2023","0.38020","0.36951","0.38432","0.36698","833.56M","2.85%"
"06/03/2023","0.36964","0.36677","0.37393","0.35979","624.87M","0.77%"
"05/03/2023","0.36681","0.37350","0.37720","0.36560","250.28M","-1.79%"
"04/03/2023","0.37351","0.37737","0.37974","0.36827","259.12M","-1.03%"
"03/03/2023","0.37738","0.37715","0.38046","0.35553","695.08M","0.06%"
"02/03/2023","0.37715","0.38366","0.38441","0.37378","440.59M","-1.70%"
"01/03/2023","0.38366","0.37620","0.38422","0.37280","454.72M","1.98%"
"28/02/2023","0.37620","0.37850","0.38251","0.37208","575.91M","-0.61%"
"27/02/2023","0.37850","0.37798","0.38011","0.37107","602.00M","0.14%"
"26/02/2023","0.37799","0.37786","0.38059","0.37460","200.97M","0.03%"
"25/02/2023","0.37786","0.37843","0.37933","0.37088","285.25M","-0.15%"
"24/02/2023","0.37844","0.38828","0.39079","0.37253","506.55M","-2.54%"
"23/02/2023","0.38829","0.39515","0.39780","0.38572","490.03M","-1.72%"
"22/02/2023","0.39507","0.39190","0.39739","0.38318","566.95M","0.81%"
"21/02/2023","0.39189","0.39841","0.40161","0.38747","594.30M","-1.64%"
"20/02/2023","0.39841","0.38638","0.40831","0.37802","732.42M","3.11%"
"19/02/2023","0.38641","0.39427","0.39782","0.38536","328.36M","-1.99%"
"18/02/2023","0.39427","0.39498","0.39742","0.39123","196.16M","-0.15%"
"17/02/2023","0.39486","0.38416","0.39991","0.38107","475.63M","2.78%"
"16/02/2023","0.38417","0.40111","0.40438","0.38417","594.20M","-4.23%"
"15/02/2023","0.40113","0.38207","0.40224","0.37658","515.88M","4.99%"
"14/02/2023","0.38207","0.37043","0.38379","0.36462","507.21M","3.14%"
"13/02/2023","0.37045","0.37477","0.37807","0.36293","538.01M","-1.17%"
"12/02/2023","0.37482","0.38349","0.38480","0.37214","191.17M","-2.26%"
"11/02/2023","0.38349","0.38203","0.38410","0.38021","166.46M","0.37%"
"10/02/2023","0.38207","0.38172","0.38769","0.37790","376.95M","0.11%"
"09/02/2023","0.38167","0.39760","0.40805","0.37413","721.48M","-4.01%"
"08/02/2023","0.39760","0.40360","0.40570","0.39374","374.80M","-1.49%"
"07/02/2023","0.40361","0.39192","0.40470","0.39025","478.44M","2.99%"
"06/02/2023","0.39189","0.39841","0.40351","0.39102","417.17M","-1.64%"
"05/02/2023","0.39842","0.41091","0.41168","0.39542","327.69M","-3.04%"
"04/02/2023","0.41093","0.41153","0.42025","0.40764","243.58M","-0.14%"
