Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2010-07-19,0.1,0.1,0.1,0.1,0.57,929.0,182.0,800.3103448,557016.0,0.00404,0.001570274,512.0,86.95115234,,,,,1181.9,17.543,6494.75,1071.25,10154.43,
2010-07-20,0.1,0.1,0.1,0.1,0.26,936.0,182.0,1090.745856,789700.0,0.0,0.001633446,738.0,42.52883469,,,,,1191.7,17.693,6494.75,1083.48,10229.96,9300.46
2010-07-21,0.1,0.1,0.1,0.1,0.58,784.0,182.0,603.821256,499964.0,0.0,0.001868085,377.0,71.82233422,,,,,1191.8,17.803,6494.75,1069.59,10120.53,9278.83
2010-07-22,0.1,0.1,0.1,0.1,2.16,594.0,182.0,572.4431818,403000.0,0.0,0.001588324,344.0,112.7146221,,,,,1195.6,18.12,7002.75,1093.67,10322.3,9220.88
2010-07-23,0.1,0.1,0.1,0.1,2.4,655.0,182.0,530.9329897,412004.0,0.0006059286966686,0.001750766,335.0,63.15814925,,,,,1187.8,18.101,7018.25,1102.66,10424.62,9430.96
2010-07-24,0.1,0.1,0.1,0.1,0.5,959.0,182.0,1519.539683,1148772.0,0.0,0.001705643,1112.0,39.05705935,,,,,1187.8,18.101,7018.25,1102.66,10424.62,9430.96
2010-07-25,0.1,0.1,0.1,0.1,1.55,2130.0,182.0,3224.285714,2979240.0,0.1470731994038573,0.002084675,3102.0,15.09424887,,,,,1187.8,18.101,7018.25,1102.66,10424.62,9430.96
2010-07-26,0.1,0.1,0.1,0.1,0.88,1250.0,182.0,1003.164609,975076.0,0.084,0.00219297,338.0,257.4189349,,,,,1183.1,18.2,7136.5,1115.01,10525.43,9503.66
2010-07-27,0.1,0.1,0.1,0.1,3.37,775.0,241.0,764.1084337,507368.0,0.0392767509643483,0.001990302,408.0,82.05112745,,,,,1158.0,17.626,7044.5,1113.84,10537.69,9496.85
2010-07-28,0.1,0.1,0.1,0.1,4.39,664.0,244.0,4922.289308,3130576.0,0.0618566537112799,0.001930245,286.0,230.216014,,,,,1160.4,17.441,7156.25,1106.13,10497.88,9496.85
